local,goles_local,visitante,goles_visitante
Brazil,3,Croatia,1
Mexico,1,Cameroon,0
Spain,1,Netherlands,5
Chile,3,Australia,1
Colombia,3,Greece,0
Uruguay,1,Costa Rica,3
England,1,Italy,2
Ivory Coast,2,Japan,1
Switzerland,2,Ecuador,1
France,3,Honduras,0
Argentina,2,Bosnia-Herzegovina,1
Germany,4,Portugal,0
Iran,0,Nigeria,0
Ghana,1,United States,2
Belgium,2,Algeria,1
Brazil,0,Mexico,0
Russia,1,South Korea,1
Australia,2,Netherlands,3
Spain,0,Chile,2
Cameroon,0,Croatia,4
Colombia,2,Ivory Coast,1
Uruguay,2,England,1
Japan,0,Greece,0
Italy,0,Costa Rica,1
Switzerland,2,France,5
Honduras,1,Ecuador,2
Argentina,1,Iran,0
Germany,2,Ghana,2
Nigeria,1,Bosnia-Herzegovina,0
Belgium,1,Russia,0
South Korea,2,Algeria,4
United States,2,Portugal,2
Australia,0,Spain,3
Netherlands,2,Chile,0
Cameroon,1,Brazil,4
Croatia,1,Mexico,3
Costa Rica,0,England,0
Italy,0,Uruguay,1
Greece,2,Ivory Coast,1
Japan,1,Colombia,4
Bosnia-Herzegovina,3,Iran,1
Nigeria,2,Argentina,3
Ecuador,0,France,0
Honduras,0,Switzerland,3
Portugal,2,Ghana,1
United States,0,Germany,1
Algeria,1,Russia,1
South Korea,0,Belgium,1
Brazil,1,Chile,1
Colombia,2,Uruguay,0
Netherlands,2,Mexico,1
Costa Rica,1,Greece,1
France,2,Nigeria,0
Germany,2,Algeria,1
Argentina,1,Switzerland,0
Belgium,2,United States,1
France,0,Germany,1
Brazil,2,Colombia,1
Argentina,1,Belgium,0
Netherlands,0,Costa Rica,0
Brazil,1,Germany,7
Netherlands,0,Argentina,0
Brazil,0,Netherlands,3
Germany,1,Argentina,0
Russia,5,Saudi Arabia,0
Egypt,0,Uruguay,1
Morocco,0,Iran,1
Portugal,3,Spain,3
France,2,Australia,1
Argentina,1,Iceland,1
Peru,0,Denmark,1
Croatia,2,Nigeria,0
Costa Rica,0,Serbia,1
Germany,0,Mexico,1
Brazil,1,Switzerland,1
Sweden,1,South Korea,0
Belgium,3,Panama,0
Tunisia,1,England,2
Colombia,1,Japan,2
Poland,1,Senegal,2
Russia,3,Egypt,1
Portugal,1,Morocco,0
Uruguay,1,Saudi Arabia,0
Iran,0,Spain,1
Denmark,1,Australia,1
France,1,Peru,0
Argentina,0,Croatia,3
Brazil,2,Costa Rica,0
Nigeria,2,Iceland,0
Serbia,1,Switzerland,2
Belgium,5,Tunisia,2
South Korea,1,Mexico,2
Germany,2,Sweden,1
England,6,Panama,1
Japan,2,Senegal,2
Poland,0,Colombia,3
Saudi Arabia,2,Egypt,1
Uruguay,3,Russia,0
Iran,1,Portugal,1
Spain,2,Morocco,2
Australia,0,Peru,2
Denmark,0,France,0
Iceland,1,Croatia,2
Nigeria,1,Argentina,2
Mexico,0,Sweden,3
South Korea,2,Germany,0
Serbia,0,Brazil,2
Switzerland,2,Costa Rica,2
Japan,0,Poland,1
Senegal,0,Colombia,1
England,0,Belgium,1
Panama,1,Tunisia,2
France,4,Argentina,3
Uruguay,2,Portugal,1
Spain,1,Russia,1
Croatia,1,Denmark,1
Brazil,2,Mexico,0
Belgium,3,Japan,2
Sweden,1,Switzerland,0
Colombia,1,England,1
Uruguay,0,France,2
Brazil,1,Belgium,2
Sweden,0,England,2
Russia,2,Croatia,2
France,1,Belgium,0
Croatia,2,England,1
Belgium,2,England,0
France,4,Croatia,2
Qatar,0,Ecuador,2
England,6,Iran,2
Senegal,0,Netherlands,2
United States,1,Wales,1
Argentina,1,Saudi Arabia,2
Denmark,0,Tunisia,0
Mexico,0,Poland,0
France,4,Australia,1
Morocco,0,Croatia,0
Germany,1,Japan,2
Spain,7,Costa Rica,0
Belgium,1,Canada,0
Switzerland,1,Cameroon,0
Uruguay,0,South Korea,0
Portugal,3,Ghana,2
Brazil,2,Serbia,0
Wales,0,Iran,2
Qatar,1,Senegal,3
Netherlands,1,Ecuador,1
England,0,United States,0
Tunisia,0,Australia,1
Poland,2,Saudi Arabia,0
France,2,Denmark,1
Argentina,2,Mexico,0
Japan,0,Costa Rica,1
Belgium,0,Morocco,2
Croatia,4,Canada,1
Spain,1,Germany,1
Cameroon,3,Serbia,3
South Korea,2,Ghana,3
Brazil,1,Switzerland,0
Portugal,2,Uruguay,0
Ecuador,1,Senegal,2
Netherlands,2,Qatar,0
Iran,0,United States,1
Wales,0,England,3
Australia,1,Denmark,0
Tunisia,1,France,0
Poland,0,Argentina,2
Saudi Arabia,1,Mexico,2
Canada,1,Morocco,2
Croatia,0,Belgium,0
Costa Rica,2,Germany,4
Japan,2,Spain,1
Ghana,0,Uruguay,2
South Korea,2,Portugal,1
Cameroon,1,Brazil,0
Serbia,2,Switzerland,3
Netherlands,3,United States,1
Argentina,2,Australia,1
France,3,Poland,1
England,3,Senegal,0
Japan,1,Croatia,1
Brazil,4,South Korea,1
Morocco,0,Spain,0
Portugal,6,Switzerland,1
Croatia,1,Brazil,1
Netherlands,2,Argentina,2
Morocco,1,Portugal,0
England,1,France,2
Argentina,3,Croatia,0
France,2,Morocco,0
Croatia,2,Morocco,1
Argentina,3,France,3
